,suspicious_value,group_statistics,conditions,tree_depth,uses_NA_branch,outlier_score
0,{},{},[],,,
1,{},{},[],,,
2,{},{},[],,,
3,{},{},[],,,
4,"{'column': 'A10', 'value': 17.0414861322161, 'decimals': 0}","{'upper_thr': 7.231817841, 'pct_below': 0.9921450151057402, 'mean': 0.7334583648781969, 'sd': 0.6748631446469068, 'n_obs': 1642}",[],0.0,0.0,0.0013506713564610513
5,{},{},[],,,
6,{},{},[],,,
7,{},{},[],,,
8,{},{},[],,,
9,{},{},[],,,
10,{},{},[],,,
11,"{'column': 'A14', 'value': 7.164592341339652, 'decimals': 0}","{'upper_thr': 4.062695671, 'pct_below': 0.991869918699187, 'mean': 0.7937051759653221, 'sd': 0.5705249975211947, 'n_obs': 1586}","[{'column': 'A18', 'comparison': '>', 'value_comp': 0.024596186000000003, 'value_this': 0.665076358, 'decimals': 1}]",1.0,0.0,0.007337155821150463
12,{},{},[],,,
13,{},{},[],,,
14,{},{},[],,,
15,{},{},[],,,
16,{},{},[],,,
17,{},{},[],,,
18,{},{},[],,,
19,{},{},[],,,
20,{},{},[],,,
21,{},{},[],,,
22,{},{},[],,,
23,{},{},[],,,
24,{},{},[],,,
25,{},{},[],,,
26,{},{},[],,,
27,"{'column': 'A0', 'value': 6.501856695437592, 'decimals': 0}","{'upper_thr': 2.544521203, 'pct_below': 0.9929266136162688, 'mean': 0.6094087729884243, 'sd': 0.43325339488110864, 'n_obs': 1123}","[{'column': 'A17', 'comparison': '<=', 'value_comp': 0.8315943109999999, 'value_this': 0.189975084, 'decimals': 1}]",1.0,0.0,0.005198610685938368
28,"{'column': 'A8', 'value': 12.873040020144575, 'decimals': 0}","{'upper_thr': 1.6855697019999998, 'pct_below': 0.9873417721518988, 'mean': 0.9210751100256411, 'sd': 0.2599733030386176, 'n_obs': 156}","[{'column': 'A10', 'comparison': '<=', 'value_comp': 0.542364259, 'value_this': 0.1168265, 'decimals': 1}, {'column': 'A11', 'comparison': '<=', 'value_comp': 1.691189996, 'value_this': 1.373473704, 'decimals': 1}, {'column': 'A19', 'comparison': '>', 'value_comp': 0.490187746, 'value_this': 0.657189414, 'decimals': 1}, {'column': 'A12', 'comparison': '>', 'value_comp': 1.190382786, 'value_this': 1.232929127, 'decimals': 1}]",4.0,0.0,0.010553668578330963
29,{},{},[],,,
30,{},{},[],,,
31,"{'column': 'A14', 'value': 11.364360503792273, 'decimals': 0}","{'upper_thr': 4.062695671, 'pct_below': 0.991869918699187, 'mean': 0.7937051759653221, 'sd': 0.5705249975211947, 'n_obs': 1586}","[{'column': 'A18', 'comparison': '>', 'value_comp': 0.024596186000000003, 'value_this': 0.734043613, 'decimals': 1}]",1.0,0.0,0.002667205562313236
32,{},{},[],,,
33,{},{},[],,,
34,{},{},[],,,
35,{},{},[],,,
36,{},{},[],,,
37,{},{},[],,,
