A0,A1,A2,A3,A4,A5,A6,A7,A8,label,reason
37,0,77,2,36,11,39,41,2,0.0,0
56,0,79,0,54,15,23,24,2,0.0,0
41,0,85,0,38,7,44,46,2,0.0,0
37,0,79,0,28,14,42,50,8,0.0,0
48,6476,82,2,46,0,34,35,2,1.0,A1
37,0,96,0,12,6,59,83,24,0.0,0
43,0,79,4,42,0,36,38,2,0.0,0
37,0,78,0,16,24262,42,63,22,1.0,A5
37,0,76,0,34,28,39,42,2,0.0,0
108,1,81,4,38,0,41,42,0,1.0,A0
41,0,79,4,42,5,38,37,0,0.0,0
37,0,92,2,18,7,55,74,20,0.0,0
49,0,83,0,46,1,34,36,2,0.0,0
37,0,77,7,20,0,40,56,16,0.0,0
38,7,78,0,2,11,40,81,40,0.0,0
49,0,95,0,50,13,47,46,0,0.0,0
45,2,86,0,44,1,41,42,2,0.0,0
50,0,81,0,537,1,31,32,0,1.0,A4
38,2,77,0,38,6,40,39,0,0.0,0
37,0,83,0,2,30,46,80,34,0.0,0
37,0,106,0,34,17,69,73,4,0.0,0
49,3,85,0,50,0,36,36,0,0.0,0
37,0,81,8,34,8,43,47,4,0.0,0
39,0,76,7,38,0,37,37,0,0.0,0
47,3,84,1,46,0,37,38,0,0.0,0
41,0,83,4,42,28,168,41,0,1.0,A6
42,1,75,0,42,0,32,34,2,0.0,0
53,0,82,0,52,21,29,30,2,0.0,0
46,0,90,6,46,0,43,43,0,0.0,0
37,1,77,0,34,24262,39,43,4,1.0,A5
40,0,238,2,38,0,39,41,2,1.0,A2
55,2,87,0,54,0,32,33,0,0.0,0
53,1,77,0,54,4,24,23,0,0.0,0
48,0,81,5,46,0,32,34,2,0.0,0
47,0,88,5,46,0,40,41,0,0.0,0
48,4,80,0,46,7,32,424,2,1.0,A7
37,0,76,3,34,17,39,43,4,0.0,0
37,0,77,0,18,31,40,59,18,0.0,0
37,0,78,6302,16,19,41,63,22,1.0,A3
51,2,81,0,52,24262,29,29,0,1.0,A5
45,1,84,0,46,19,38,37,0,0.0,0
39,6476,97,0,38,0,59,59,0,1.0,A1
37,0,95,0,16,1,58,79,22,0.0,0
37,0,97,0,36,3,59,60,2,0.0,0
43,0,95,6,537,2,52,54,2,1.0,A4
37,0,77,0,10,26,40,66,26,0.0,0
37,0,95,7,16,14,58,80,22,0.0,0
37,0,77,4,26,17,41,52,10,0.0,0
56,3,92,0,56,15,36,35,0,0.0,0
50,1,87,5,50,0,37,38,0,0.0,0
41,0,80,0,42,17,39,39,0,0.0,0
57,2,88,2,56,0,31,31,0,0.0,0
38,0,106,0,38,12,68,67,0,0.0,0
37,0,80,0,38,29,43,41,0,0.0,0
37,0,79,0,16,1,43,64,22,0.0,0
41,2,77,0,38,21,36,39,2,0.0,0
39,2,75,0,38,0,35,36,0,0.0,0
37,0,78,4,6,0,41,73,32,0.0,0
42,0,83,5,42,0,41,424,2,1.0,A7
